driver,date,year,EloRating
Ryan Briscoe,2008-07-12,2008,1486.18476916471
Ryan Hunter-Reay,2008-07-12,2008,1528.5926810095
Scott Dixon,2008-07-12,2008,1636.87141465553
Tony Kanaan,2008-07-12,2008,1601.15822050138
Vitor Meira,2008-07-12,2008,1495.38872892444
Will Power,2008-07-12,2008,1474.27043200637
A.J. Foyt IV,2008-07-20,2008,1466.76995451836
Bruno Junqueira,2008-07-20,2008,1446.20742920774
Buddy Rice,2008-07-20,2008,1517.44385587502
Dan Wheldon,2008-07-20,2008,1610.90771339078
Danica Patrick,2008-07-20,2008,1560.17078790269
Darren Manning,2008-07-20,2008,1529.74594793417
E.J. Viso,2008-07-20,2008,1531.72160209888
Ed Carpenter,2008-07-20,2008,1535.77508391607
Enrique Bernoldi,2008-07-20,2008,1407.55218564058
Graham Rahal,2008-07-20,2008,1482.56315821033
Helio Castroneves,2008-07-20,2008,1653.77725417411
Hideki Mutoh,2008-07-20,2008,1578.13937186961
Jaime Camara,2008-07-20,2008,1408.66938553524
Justin Wilson,2008-07-20,2008,1451.37642942872
Marco Andretti,2008-07-20,2008,1466.48160788148
Mario Dominguez,2008-07-20,2008,1476.16548495138
Mario Moraes,2008-07-20,2008,1452.21567276853
Marty Roth,2008-07-20,2008,1331.7506196746
Milka Duno,2008-07-20,2008,1432.62239659683
Oriol Servia,2008-07-20,2008,1540.91883999138
Ryan Briscoe,2008-07-20,2008,1510.52313331918
Ryan Hunter-Reay,2008-07-20,2008,1538.57518021285
Scott Dixon,2008-07-20,2008,1653.3982871964
Tony Kanaan,2008-07-20,2008,1607.49836767703
Vitor Meira,2008-07-20,2008,1514.95508894274
Will Power,2008-07-20,2008,1501.06316136992
A.J. Foyt IV,2008-07-26,2008,1476.97476864324
Bruno Junqueira,2008-07-26,2008,1445.03161239479
Buddy Rice,2008-07-26,2008,1527.47383972234
Dan Wheldon,2008-07-26,2008,1623.72735625563
Danica Patrick,2008-07-26,2008,1548.11527705648
Darren Manning,2008-07-26,2008,1540.76620270507
E.J. Viso,2008-07-26,2008,1530.81305462861
Ed Carpenter,2008-07-26,2008,1541.236551168
Enrique Bernoldi,2008-07-26,2008,1407.43003684797
Graham Rahal,2008-07-26,2008,1451.07732805117
Helio Castroneves,2008-07-26,2008,1669.50338565167
Hideki Mutoh,2008-07-26,2008,1545.94136666023
Jaime Camara,2008-07-26,2008,1397.8450475182
Justin Wilson,2008-07-26,2008,1477.07541388378
Marco Andretti,2008-07-26,2008,1462.45294370603
Mario Dominguez,2008-07-26,2008,1455.03047127697
Mario Moraes,2008-07-26,2008,1441.72845466747
Marty Roth,2008-07-26,2008,1326.4929458758
Oriol Servia,2008-07-26,2008,1556.14792750903
Paul Tracy,2008-07-26,2008,1522.84266248582
Ryan Briscoe,2008-07-26,2008,1520.24779459744
Ryan Hunter-Reay,2008-07-26,2008,1553.5795899639
Scott Dixon,2008-07-26,2008,1673.26749115404
Tony Kanaan,2008-07-26,2008,1621.09266508479
Townsend Bell,2008-07-26,2008,1508.51425735507
Vitor Meira,2008-07-26,2008,1504.04403607482
Will Power,2008-07-26,2008,1475.10811991234
A.J. Foyt IV,2008-08-09,2008,1463.96354522156
Bruno Junqueira,2008-08-09,2008,1450.84264480699
Buddy Rice,2008-08-09,2008,1537.47150757383
Dan Wheldon,2008-08-09,2008,1634.65640083022
Danica Patrick,2008-08-09,2008,1559.70257032002
Darren Manning,2008-08-09,2008,1528.73625315432
E.J. Viso,2008-08-09,2008,1534.49115212583
Ed Carpenter,2008-08-09,2008,1556.00585130168
Enrique Bernoldi,2008-08-09,2008,1393.53767948017
Graham Rahal,2008-08-09,2008,1427.4395026712
Helio Castroneves,2008-08-09,2008,1687.28852538261
Hideki Mutoh,2008-08-09,2008,1527.03530965832
Jaime Camara,2008-08-09,2008,1399.25105664361
Justin Wilson,2008-08-09,2008,1454.49886308454
Marco Andretti,2008-08-09,2008,1490.87132523671
Mario Moraes,2008-08-09,2008,1439.94030528877
Marty Roth,2008-08-09,2008,1310.91139212747
Milka Duno,2008-08-09,2008,1419.1712727005
Oriol Servia,2008-08-09,2008,1559.24290589327
Ryan Briscoe,2008-08-09,2008,1530.03412305086
Ryan Hunter-Reay,2008-08-09,2008,1563.19671935322
Sarah Fisher,2008-08-09,2008,1469.764103766
Scott Dixon,2008-08-09,2008,1688.65455815367
Tony Kanaan,2008-08-09,2008,1626.17157921326
Vitor Meira,2008-08-09,2008,1520.16723723923
Will Power,2008-08-09,2008,1446.72103844623
A.J. Foyt IV,2008-08-24,2008,1453.83995327159
Bruno Junqueira,2008-08-24,2008,1447.20564250726
Buddy Rice,2008-08-24,2008,1546.36446669935
Dan Wheldon,2008-08-24,2008,1655.54120273972
Danica Patrick,2008-08-24,2008,1579.75309084152
Darren Manning,2008-08-24,2008,1511.13369690061
E.J. Viso,2008-08-24,2008,1553.47202168655
Ed Carpenter,2008-08-24,2008,1535.3162640106
Enrique Bernoldi,2008-08-24,2008,1386.49405763445
Graham Rahal,2008-08-24,2008,1448.09232912547
Helio Castroneves,2008-08-24,2008,1702.71106015677
Hideki Mutoh,2008-08-24,2008,1531.14146384306
Jaime Camara,2008-08-24,2008,1386.00724700672
Justin Wilson,2008-08-24,2008,1465.28158904104
Marco Andretti,2008-08-24,2008,1493.374449679
Mario Dominguez,2008-08-24,2008,1452.49261299192
Mario Moraes,2008-08-24,2008,1454.39577110868
Marty Roth,2008-08-24,2008,1293.68536669616
Oriol Servia,2008-08-24,2008,1549.90977018256
Ryan Briscoe,2008-08-24,2008,1550.82284021202
Ryan Hunter-Reay,2008-08-24,2008,1547.87978508079
Scott Dixon,2008-08-24,2008,1679.76164786298
Tomas Scheckter,2008-08-24,2008,1399.7142139044
Tony Kanaan,2008-08-24,2008,1642.16324301788
Townsend Bell,2008-08-24,2008,1498.16264948175
Vitor Meira,2008-08-24,2008,1538.93639980381
Will Power,2008-08-24,2008,1416.12524342229
