Car No.,Driver,Team,Engine,Rounds,year
1,Simon Pagenaud,Team Penske,Chevy,Full Season,2017
2,Josef Newgarden,Team Penske,Chevy,Full Season,2017
3,Helio Castroneves,Team Penske,Chevy,Full Season,2017
4,Conor Daly,A.J. Foyt Enterprises,Chevy,Full Season,2017
5,James Hinchcliffe,Schmidt Peterson Motorsports,Honda,Full Season,2017
7,Mikhail Aleshin,Schmidt Peterson Motorsports,Honda,STP-MOH,2017
7,Robert Wickens,Schmidt Peterson Motorsports,Honda,RA Fri Only,2017
7,Sebastian Saavedra,Schmidt Peterson Motorsports,Honda,TOR/POC/GTW,2017
7,Jack Harvey,Schmidt Peterson Motorsports,Honda,WGI & SON,2017
8,Max Chilton,Chip Ganassi Racing Teams,Honda,Full Season,2017
9,Scott Dixon,Chip Ganassi Racing Teams,Honda,Full Season,2017
10,Tony Kanaan,Chip Ganassi Racing Teams,Honda,Full Season,2017
11,Spencer Pigot,Juncos Racing,Chevy,Indy 500,2017
12,Will Power,Team Penske,Chevy,Full Season,2017
14,Carlos Munoz,A.J. Foyt Enterprises,Chevy,Full Season,2017
15,Graham Rahal,Rahal Letterman Lanigan Racing,Honda,Full Season,2017
16,Oriol Servia,Rahal Letterman Lanigan Racing,Honda,Indy 500 & Belle Isle,2017
16,Zachary Claman DeMelo,Rahal Letterman Lanigan Racing,Honda,Sonoma,2017
17,Sebastian Saavedra,Juncos Racing,Chevy,Indy 500,2017
18,Sebastien Bourdais,Dale Coyne Racing,Honda,Full Season*,2017
18,James Davison,Dale Coyne Racing,Honda,Indy 500,2017
18,Esteban Gutierrez,Dale Coyne Racing,Honda,BI & RA-POC,2017
18,Tristan Vautier,Dale Coyne Racing,Honda,Texas,2017
19,Ed Jones,Dale Coyne Racing,Honda,Full Season,2017
20,Ed Carpenter,Ed Carpenter Racing,Chevy,Ovals,2017
20,Spencer Pigot,Ed Carpenter Racing,Chevy,Road/Street,2017
21,JR Hildebrand,Ed Carpenter Racing,Chevy,Full Season,2017
21,Zach Veach,Ed Carpenter Racing,Chevy,Barber,2017
22,Juan Pablo Montoya,Team Penske,Chevy,IMS Races,2017
24,Sage Karam,Dreyer & Reinbold Racing/Kingdom Racing,Chevy,Indy 500,2017
26,Takuma Sato,Andretti Autosport,Honda,Full Season,2017
27,Marco Andretti,Andretti Autosport,Honda,Full Season,2017
28,Ryan Hunter-Reay,Andretti Autosport,Honda,Full Season,2017
29,Fernando Alonso,Andretti Autosport/McLaren,Honda,Indy 500,2017
40,Zach Veach,A.J. Foyt Enterprises,Chevy,Indy 500,2017
44,Buddy Lazier,Lazier Racing Partners,Chevy,Indy 500,2017
50,Jack Harvey,Andretti Autosport/Michael Shank Racing,Honda,Indy 500,2017
63,Pippa Mann,Dale Coyne Racing,Honda,Indy 500,2017
77,Jay Howard,Schmidt Peterson Motorsports,Honda,Indy 500,2017
83,Charlie Kimball,Chip Ganassi Racing Teams,Honda,Full Season,2017
88,Gabby Chaves,Harding Racing,Chevy,IND/TEX/POC,2017
98,Alexander Rossi,Andretti Autosport/Bryan Herta Autosport,Honda,Full Season,2017
1,Josef Newgarden,Team Penske,Chevy,Full Season,2018
3,Helio Castroneves,Team Penske,Chevy,IMS Races,2018
4,Matheus Leist,A.J. Foyt Enterprises,Chevy,Full Season,2018
5,James Hinchcliffe,Schmidt Peterson Motorsports,Honda,Full Season,2018
6,Robert Wickens,Schmidt Peterson Motorsports,Honda,Full Season,2018
6,Carlos Munoz,Schmidt Peterson Motorsports,Honda,POR/SON,2018
7,Jay Howard,Schmidt Peterson Motorsports,Honda,Indy 500,2018
8,Patricio O'Ward,Harding Racing,Chevy,SON,2018
9,Scott Dixon,Chip Ganassi Racing Teams,Honda,Full Season,2018
10,Ed Jones,Chip Ganassi Racing Teams,Honda,Full Season,2018
12,Will Power,Team Penske,Chevy,Full Season,2018
13,Danica Patrick,Ed Carpenter Racing,Chevy,Indy 500,2018
14,Tony Kanaan,A.J. Foyt Enterprises,Chevy,Full Season,2018
15,Graham Rahal,Rahal Letterman Lanigan Racing,Honda,Full Season,2018
17,Conor Daly,Dale Coyne Racing/Thom Burns Racing,Honda,Indy 500,2018
18,Sebastien Bourdais,Dale Coyne Racing/Vasser-Sullivan,Honda,Full Season,2018
19,Zachary Claman De Melo,Dale Coyne Racing,Honda,Partial,2018
19,Santino Ferrucci,Dale Coyne Racing,Honda,Belle Isle,2018
19,Pietro Fittipaldi,Dale Coyne Racing,Honda,Partial,2018
20,Ed Carpenter,Ed Carpenter Racing,Chevy,Ovals,2018
20,Jordan King,Ed Carpenter Racing,Chevy,Road/Street,2018
